Clt;Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Att;Action de jeu;Coup de pied arrêté;CF;Tr;Tr;Ctr;PCF;Co;Rentrant;Sortant;Droit;Cmp;HJ;Balles contrées;Matchs
;Romain Faivre;fr FRA;MT,AT;Brest;26-181;1998;5.6;181;166;14;3;2;0;14;1;10;6;3;0;148;1;5;Matchs
;Khalil Fayad;fr FRA;MT,AT;Montpellier;20-216;2004;3.1;156;151;5;5;2;1;3;0;0;0;0;0;135;0;2;Matchs
;Zinedine Ferhat;dz ALG;AT,MT;Angers;31-316;1993;2.8;144;120;23;4;1;1;24;5;14;3;8;1;98;1;2;Matchs
;Edimilson Fernandes;ch SUI;MT;Brest;28-271;1996;5.7;282;279;3;3;1;3;1;0;0;0;0;0;249;0;3;Matchs
;Matias Fernandez-Pardo;be BEL;AT;Lille;19-343;2005;4.9;131;123;7;2;1;1;11;0;5;4;0;0;95;1;4;Matchs
;Jordan Ferri;fr FRA;MT;Montpellier;32-305;1992;9.8;571;544;26;20;0;2;11;6;0;0;0;0;511;1;2;Matchs
;Karol Fila;pl POL;MT;Strasbourg;26-212;1998;0.1;4;4;0;0;0;0;0;0;0;0;0;0;2;0;1;Matchs
;Malick Fofana;be BEL;AT;Lyon;19-286;2005;10.0;353;341;11;1;1;0;41;10;0;0;0;0;270;1;18;Matchs
;Seko Fofana;ci CIV;MT;Rennes;29-249;1995;0.3;27;26;1;1;0;0;1;0;0;0;0;0;23;0;0;Matchs
;Yahia Fofana;ci CIV;GB;Angers;24-143;2000;16.0;498;326;170;44;0;0;0;0;0;0;0;0;347;2;0;Matchs
;Lamine Fomba;fr FRA;MT;Saint-Étienne;26-351;1998;0.8;43;43;0;0;0;2;0;0;0;0;0;0;33;0;2;Matchs
;Przemysław Frankowski;pl POL;DF;Lens;29-274;1995;11.5;822;709;109;7;4;2;51;98;4;1;3;0;661;4;28;Matchs
;Angelo Fulgini;fr FRA;MT,AT;Lens;28-144;1996;7.4;390;355;30;8;6;3;22;7;9;4;3;0;305;5;12;Matchs
;Gauthier Gallon;fr FRA;GB;Rennes;31-263;1993;0.5;19;15;4;0;0;0;0;0;0;0;0;0;16;0;0;Matchs
;Ignatius Ganago;cm CMR;AT,MT;Nantes;25-330;1999;2.7;77;72;5;0;0;0;3;1;0;0;0;0;59;0;1;Matchs
;Ulisses Garcia;ch SUI;DF;Marseille;29-000;1996;4.6;261;216;44;4;0;0;15;40;0;0;0;0;214;1;6;Matchs
;Jean-Philippe Gbamin;ci CIV;MT;Nantes;29-108;1995;2.3;113;111;2;2;0;2;0;0;0;0;0;0;88;0;2;Matchs
;Yann Gboho;fr FRA;MT,AT;Toulouse;23-363;2001;14.2;308;300;6;2;4;1;17;0;0;0;0;0;205;2;19;Matchs
;Denis Genreau;au AUS;MT,AT;Toulouse;25-235;1999;0.5;35;27;8;0;0;0;6;2;6;2;3;0;26;0;2;Matchs
;Aleksandr Golovin;ru RUS;MT,AT;Monaco;28-226;1996;10.8;577;552;22;11;7;2;19;4;7;2;3;0;451;3;11;Matchs
;André Gomes;pt POR;MT;Lille;31-165;1993;5.3;338;328;10;8;3;3;2;2;0;0;0;0;299;0;6;Matchs
;Angel Gomes;eng ENG;MT;Lille;24-133;2000;7.1;300;289;8;3;2;1;9;0;3;2;0;0;242;3;6;Matchs
;;;;;;;;;;;;;;;;;;;;;;;
;Carlos Gómez;co COL;MT,AT;Rennes;22-121;2002;3.1;96;92;4;0;1;0;17;4;0;0;0;0;70;0;1;Matchs
;Amine Gouiri;dz ALG;MT,AT;Rennes;24-330;2000;10.0;305;274;31;8;3;0;12;4;7;5;1;0;236;0;13;Matchs
;Jonathan Gradit;fr FRA;DF;Lens;32-048;1992;8.3;453;441;10;9;1;2;5;1;0;0;0;0;371;2;4;Matchs
;Samuel Grandsir;fr FRA;MT,AT;Le Havre;28-150;1996;0.9;32;28;4;1;1;0;5;1;2;2;0;0;20;0;1;Matchs
;Mason Greenwood;eng ENG;AT,MT;Marseille;23-102;2001;15.1;716;658;54;13;5;15;70;3;34;25;1;0;558;4;9;Matchs
;Albert Grønbaek;dk DEN;MT,AT;Rennes;23-233;2001;8.8;244;210;31;7;1;1;28;5;19;16;3;0;154;3;14;Matchs
;Gabriel Gudmundsson;se SWE;DF;Lille;25-257;1999;12.0;601;498;103;5;1;3;40;95;3;0;1;0;485;0;14;Matchs
;Axel Gueguin;fr FRA;AT;Montpellier;19-293;2005;0.3;6;5;1;0;0;0;1;0;1;0;1;0;5;0;1;Matchs
;Evann Guessand;ci CIV;AT,MT;Nice;23-194;2001;15.4;278;259;17;1;5;0;14;0;0;0;0;0;214;2;13;Matchs
;Bahereba Guirassy;fr FRA;AT,MT;Nantes;18-135;2006;1.2;41;40;0;0;0;0;2;0;0;0;0;0;24;1;5;Matchs
;Massadio Haïdara;ml MLI;DF;Brest;32-040;1992;7.2;340;282;58;4;0;0;24;54;0;0;0;0;263;0;7;Matchs
