,Performance,Duels aériens,,Clt,Joueur,Nation,Pos,Équipe,Âge,Naissance,90,CJ,CR,2CrtJ,Fte,Ftp,HJ,Ctr,Int,TclR,Préussi,Pcon,CSC,Récupération,Gagnés,Perdus,% gagnés,Matchs
Lucas Chevalier,fr FRA,GB,Lille,23-061,2001,16.0,0,0,0,0,3,0,0,0,2,0,0,0,23,4,0,100.0,Matchs
Pedro Chirivella,es ESP,MT,Nantes,27-228,1997,13.8,2,0,0,11,8,0,8,7,17,0,0,0,47,7,8,46.7,Matchs
Joris Chotard,fr FRA,MT,Montpellier,23-104,2001,7.5,3,0,0,5,5,1,9,9,13,0,1,0,33,8,6,57.1,Matchs
Jonathan Clauss,fr FRA,DF,MT,Nice,32-103,1992,9.5,3,0,0,10,1,0,53,19,19,0,0,0,44,6,5,54.5,Matchs
Marcus Coco,fr FRA,DF,Nantes,28-196,1996,5.0,2,1,0,17,10,0,13,3,15,0,0,0,23,4,5,44.4,Matchs
Alois Confais,fr FRA,MT,Le Havre,28-121,1996,0.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,,Matchs
Derek Cornelius,ca CAN,DF,Marseille,27-042,1997,7.0,4,1,1,9,7,0,2,6,6,0,1,0,24,15,4,78.9,Matchs

Pierre Cornud,fr FRA,DF,Saint-Étienne,28-025,1996,4.2,2,0,0,6,2,0,8,5,8,0,1,0,24,0,2,0.0,Matchs
David Costa,pt POR,MT,Lens,24-001,2001,3.6,0,1,0,3,4,0,14,1,0,1,0,0,10,0,2,0.0,Matchs
Logan Costa,cv CPV,DF,Toulouse,23-280,2001,1.0,0,0,0,0,0,0,1,2,1,0,0,0,4,4,2,66.7,Matchs
Grégoire Coudert,fr FRA,GB,Brest,25-278,1999,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matchs
Lasso Coulibaly,gh GHA,AT,MT,Auxerre,22-079,2002,0.4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0.0,Matchs
Soumaïla Coulibaly,fr FRA,DF,Brest,21-084,2003,3.6,0,0,0,9,1,0,0,5,2,1,0,0,11,6,3,66.7,Matchs
Tanguy Coulibaly,fr FRA,AT,MT,Montpellier,23-323,2001,4.9,2,2,1,14,2,1,10,4,6,0,1,0,19,9,7,56.3,Matchs
Nicolas Cozza,fr FRA,DF,MT,Nantes,25-364,1999,11.3,2,0,0,10,6,2,13,13,18,1,0,0,34,9,8,52.9,Matchs
Charlie Cresswell,eng ENG,DF,Toulouse,22-142,2002,12.8,1,0,0,16,7,0,2,16,7,0,0,1,39,46,18,71.9,Matchs
Kévin Danois,fr FRA,MT,Auxerre,20-192,2004,9.8,0,0,0,14,8,1,10,15,22,0,0,0,58,9,14,39.1,Matchs
Kevin Danso,at AUT,DF,Lens,26-109,1998,11.0,3,0,0,22,10,1,0,19,6,0,1,0,54,36,20,64.3,Matchs
Dante,br BRA,DF,Nice,41-080,1983,8.3,5,0,0,8,7,0,1,11,8,0,0,0,48,17,8,68.0,Matchs
Pape Daouda Diongue,sn SEN,MT,AT,Strasbourg,,,0.8,0,0,0,0,0,0,1,3,0,0,0,0,6,4,0,100.0,Matchs
Mohammed Daramy,dk DEN,AT,Reims,22-365,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.3,Matchs
Jonathan David,ca CAN,AT,Lille,24-358,2000,14.1,2,0,0,16,20,3,1,3,3,0,0,0,30,8,27,22.9,Matchs
Zuriko Davitashvili,ge GEO,MT,AT,Saint-Étienne,23-326,2001,14.2,1,0,0,8,14,2,34,9,5,0,0,0,61,8,20,28.6,Matchs
Théo De Percin,mq MTQ,GB,Auxerre,23-339,2001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matchs
Thibault De Smet,be BEL,DF,Reims,26-215,1998,2.0,0,0,0,1,2,0,0,4,4,0,0,0,6,1,1,50.0,Matchs
Romain Del Castillo,fr FRA,AT,Brest,28-283,1996,9.6,0,0,0,9,12,0,72,5,12,0,0,0,51,7,8,46.7,Matchs
Ousmane Dembélé,fr FRA,AT,Paris S-G,27-236,1997,10.0,1,0,0,3,11,6,63,7,2,1,0,0,28,3,2,60.0,Matchs
Arthur Desmas,fr FRA,GB,Le Havre,30-274,1994,16.0,2,0,0,1,6,0,0,0,0,0,1,0,12,2,0,100.0,Matchs
Mamadou Diakhon,fr FRA,AT,MT,Reims,19-106,2005,1.8,1,0,0,1,6,0,7,1,5,0,0,0,6,0,2,0.0,Matchs
Bafodé Diakité,fr FRA,DF,Lille,24-000,2001,16.0,3,0,0,25,11,1,1,16,11,0,1,0,74,37,14,72.5,Matchs
Oumar Diakité,ci CIV,AT,Reims,21-017,2003,12.5,4,0,0,22,18,8,7,2,10,0,0,0,41,20,36,35.7,Matchs
Habib Diarra,sn SEN,MT,AT,Strasbourg,21-003,2004,14.2,3,0,0,15,26,0,19,4,7,1,0,0,46,9,9,50.0,Matchs

Krépin Diatta,sn SEN,DF,Monaco,25-316,1999,2.2,0,0,0,7,4,0,4,3,7,0,0,0,17,8,4,66.7,Matchs
Kandet Diawara,gn GUI,AT,Le Havre,24-331,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matchs
Mahamadou Diawara,fr FRA,MT,Lyon,19-324,2005,0.2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,,Matchs
Bamba Dieng,sn SEN,AT,Angers,24-289,2000,4.3,1,0,0,5,9,2,2,0,0,1,0,0,3,8,19,29.6,Matchs
Kembo Diliwidi,fr FRA,DF,Lens,18-338,2006,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,Matchs
Sinaly Diomande,ci CIV,DF,Auxerre,23-272,2001,8.8,3,0,0,10,10,0,1,9,7,0,0,0,34,14,12,53.8,Matchs
Lois Diony,fr FRA,AT,Angers,32-017,1992,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matchs
Sofiane Diop,fr FRA,MT,AT,Nice,24-211,2000,6.2,2,0,0,10,9,0,25,10,12,0,0,0,43,2,3,40.0,Matchs
Andy Diouf,fr FRA,MT,Lens,21-234,2003,12.4,2,0,0,23,8,0,19,9,13,0,0,0,69,7,12,36.8,Matchs
Yehvann Diouf,fr FRA,GB,Reims,25-051,1999,16.0,1,0,0,0,2,0,0,0,1,0,0,0,18,2,0,100.0,Matchs
Assane Dioussé,sn SEN,MT,Auxerre,27-108,1997,1.2,0,0,0,6,5,0,0,1,3,0,0,0,8,0,1,0.0,Matchs
Álex Domínguez,es ESP,GB,Toulouse,26-160,1998,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matchs
Gianluigi Donnarumma,it ITA,GB,Paris S-G,25-316,1999,11.2,2,0,0,0,2,0,0,0,1,0,0,0,14,2,0,100.0,Matchs
Désiré Doué,fr FRA,AT,Paris S-G,19-217,2005,6.5,0,0,0,12,17,1,22,3,6,1,0,0,25,2,4,33.3,Matchs
Guela Doué,ci CIV,DF,Strasbourg,22-081,2002,15.0,4,0,0,18,10,0,22,23,22,0,1,0,91,18,15,54.5,Matchs
Douglas,br BRA,MT,Nantes,27-359,1997,13.4,4,0,0,20,18,0,7,8,19,0,1,0,52,11,25,30.6,Matchs
Ismaël Doukouré,fr FRA,MT,DF,Strasbourg,21-166,2003,12.8,4,0,0,10,7,0,1,13,9,0,0,0,41,9,7,56.3,Matchs
Kamory Doumbia,ml MLI,MT,AT,Brest,21-323,2003,6.5,0,0,0,10,6,1,19,12,14,0,0,0,35,5,12,29.4,Matchs
Amidou Doumbouya,fr FRA,DF,Nice,17-154,2007,0.5,0,0,0,0,0,0,2,1,1,0,0,0,6,0,0,,Matchs
Jean-Kevin Duverne,ht HAI,DF,Nantes,27-178,1997,6.0,2,0,0,14,6,0,9,8,12,0,0,0,20,9,3,75.0,Matchs
Stefan Džodić,rs SRB,DF,MT,Montpellier,19-297,2005,2.1,2,1,0,4,2,0,0,4,3,0,0,0,9,2,4,33.3,Matchs
Aron Dønnum,no NOR,DF,MT,Toulouse,26-261,1998,13.0,4,0,0,22,26,0,36,11,10,0,0,0,71,7,8,46.7,Matchs
Jacques Ekomie,ga GAB,DF,Angers,21-140,2003,3.2,0,0,0,3,9,1,13,2,6,0,0,0,13,3,6,33.3,Matchs
Pierre Ekwah Elimby,fr FRA,MT,DF,Saint-Étienne,22-357,2002,12.7,2,0,0,12,15,0,1,19,12,0,0,0,61,11,6,64.7,Matchs
Breel Embolo,ch SUI,AT,Monaco,27-327,1997,9.1,2,0,0,12,18,7,2,1,4,0,0,0,19,17,17,50.0,Matchs

Emanuel Emegha,nl NED,AT,Strasbourg,21-338,2003,9.7,2,0,0,20,16,6,0,0,4,0,0,0,17,13,11,54.2,Matchs
Romain Faivre,fr FRA,AT,MT,Brest,26-176,1998,5.6,1,0,0,3,13,0,14,3,8,0,0,0,21,4,7,36.4,Matchs
Khalil Fayad,fr FRA,MT,AT,Montpellier,20-211,2004,3.1,0,0,0,8,12,0,3,1,7,0,0,1,17,1,1,50.0,Matchs
Zinedine Ferhat,dz ALG,AT,MT,Angers,31-311,1993,2.8,1,0,0,7,7,0,24,2,0,0,0,0,15,7,4,63.6,Matchs
