Clt;Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Tcl;TclR;ZDéf;MilTer;ZOff;Tcl;Att;Tcl%;Manqués;Balles contrées;Tirs;Passe;Int;Tcl+Int;Dég;Err;Matchs
;Habib Diarra;sn SEN;MT,AT;Strasbourg;21-008;2004;14.2;11;7;1;8;2;5;9;55.6;4;8;2;6;4;15;19;1;Matchs
;Krépin Diatta;sn SEN;DF;Monaco;25-321;1999;2.2;11;7;8;1;2;7;13;53.8;6;4;1;3;3;14;7;1;Matchs
;Kandet Diawara;gn GUI;AT;Le Havre;24-336;2000;0.0;0;0;0;0;0;0;0;;0;1;0;1;0;0;1;0;Matchs
;Mahamadou Diawara;fr FRA;MT;Lyon;19-329;2005;0.2;1;0;0;1;0;1;3;33.3;2;2;0;2;0;1;0;0;Matchs
;Bamba Dieng;sn SEN;AT;Angers;24-294;2000;4.3;3;0;1;1;1;0;0;;0;1;0;1;0;3;3;0;Matchs
;Kembo Diliwidi;fr FRA;DF;Lens;18-343;2006;0.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matchs
;Sinaly Diomande;ci CIV;DF;Auxerre;23-277;2001;9.8;13;8;6;6;1;10;14;71.4;4;18;12;6;10;23;38;0;Matchs
;Lois Diony;fr FRA;AT;Angers;32-022;1992;0.2;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matchs
;Sofiane Diop;fr FRA;MT,AT;Nice;24-216;2000;6.2;18;12;13;2;3;8;17;47.1;9;15;2;13;10;28;7;0;Matchs
;Andy Diouf;fr FRA;MT;Lens;21-239;2003;12.4;19;13;4;12;3;11;21;52.4;10;17;1;16;8;27;8;0;Matchs
;Yehvann Diouf;fr FRA;GB;Reims;25-056;1999;16.0;1;1;1;0;0;1;3;33.3;2;0;0;0;0;1;5;1;Matchs
;Assane Dioussé;sn SEN;MT;Auxerre;27-113;1997;1.9;5;2;3;2;0;3;6;50.0;3;1;0;1;4;9;5;0;Matchs
;Álex Domínguez;es ESP;GB;Toulouse;26-165;1998;0.2;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matchs
;Gianluigi Donnarumma;it ITA;GB;Paris S-G;25-321;1999;11.2;1;1;1;0;0;1;1;100.0;0;0;0;0;0;1;5;0;Matchs
;Désiré Doué;fr FRA;AT;Paris S-G;19-222;2005;6.5;8;6;2;5;1;3;13;23.1;10;5;0;5;3;11;4;0;Matchs
;Guela Doué;ci CIV;DF;Strasbourg;22-086;2002;15.0;30;22;19;4;7;19;26;73.1;7;13;0;13;23;53;72;0;Matchs
;Douglas;br BRA;MT;Nantes;27-364;1997;14.4;37;22;14;18;5;14;28;50.0;14;32;8;24;10;47;19;0;Matchs
;Ismaël Doukouré;fr FRA;MT,DF;Strasbourg;21-171;2003;12.8;22;9;11;11;0;10;13;76.9;3;16;6;10;13;35;48;2;Matchs
;Kamory Doumbia;ml MLI;MT,AT;Brest;21-328;2003;6.5;19;14;8;9;2;9;19;47.4;10;5;0;5;13;32;6;0;Matchs
;Amidou Doumbouya;fr FRA;DF;Nice;17-159;2007;0.5;1;1;0;0;1;1;1;100.0;0;3;1;2;1;2;1;0;Matchs
;Jean-Kevin Duverne;ht HAI;DF;Nantes;27-183;1997;6.0;21;12;13;4;4;15;27;55.6;12;10;3;7;8;29;23;0;Matchs
;Stefan Džodić;rs SRB;DF,MT;Montpellier;19-302;2005;2.1;6;3;3;3;0;4;6;66.7;2;3;2;1;4;10;7;0;Matchs
;Aron Dønnum;no NOR;DF,MT;Toulouse;26-266;1998;13.0;18;10;6;8;4;8;22;36.4;14;14;2;12;11;29;22;0;Matchs
;Jacques Ekomie;ga GAB;DF;Angers;21-145;2003;3.2;8;6;3;4;1;3;6;50.0;3;7;1;6;2;10;8;0;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
;Pierre Ekwah Elimby;fr FRA;MT,DF;Saint-Étienne;22-362;2002;12.7;21;12;10;11;0;13;21;61.9;8;11;7;4;19;40;44;0;Matchs
;Breel Embolo;ch SUI;AT;Monaco;27-332;1997;10.1;6;5;2;2;2;1;8;12.5;7;4;0;4;1;7;3;0;Matchs
;Emanuel Emegha;nl NED;AT;Strasbourg;21-343;2003;9.7;4;4;0;2;2;1;2;50.0;1;7;4;3;0;4;9;0;Matchs
;Romain Faivre;fr FRA;MT,AT;Brest;26-181;1998;5.6;8;8;3;4;1;4;9;44.4;5;2;0;2;3;11;2;1;Matchs
;Khalil Fayad;fr FRA;MT,AT;Montpellier;20-216;2004;3.1;15;7;6;9;0;5;8;62.5;3;4;0;4;1;16;4;0;Matchs
;Zinedine Ferhat;dz ALG;AT,MT;Angers;31-316;1993;2.8;1;0;0;1;0;0;2;0.0;2;1;0;1;2;3;2;0;Matchs
;Edimilson Fernandes;ch SUI;MT;Brest;28-271;1996;5.7;7;5;2;5;0;6;9;66.7;3;8;3;5;10;17;13;1;Matchs
;Matias Fernandez-Pardo;be BEL;AT;Lille;19-343;2005;4.9;6;4;3;3;0;4;8;50.0;4;5;0;5;1;7;4;0;Matchs
;Jordan Ferri;fr FRA;MT;Montpellier;32-305;1992;9.8;25;11;11;13;1;10;18;55.6;8;8;1;7;6;31;11;0;Matchs
