Clt;Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Cmp;Att;Cmp%;TotDist;DistBut;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;PD;xAG;xA;A-xAG;PC;01-mars;PPA;CntSR;PrgP;Matchs
;Valentin Carboni;ar ARG;MT,AT;Marseille;19-312;2005;1.1;57;64;89.1;816;162;32;34;94.1;19;20;95.0;3;4;75.0;0;0.1;0.1;-0.1;3;4;4;2;4;Matchs
;Patrik Carlgren;se SWE;GB;Nantes;33-003;1992;3.0;65;93;69.9;1846;1453;13;13;100.0;26;26;100.0;25;52;48.1;0;0.0;0.0;0.0;0;1;0;0;0;Matchs
;Josué Casimir;fr FRA;AT,DF;Le Havre;23-109;2001;7.5;145;201;72.1;2377;630;75;91;82.4;54;72;75.0;13;22;59.1;1;0.7;0.3;+0.3;7;9;5;1;18;Matchs
;Cristian Cásseres Jr.;ve VEN;MT;Toulouse;24-357;2000;13.3;419;543;77.2;7224;2036;177;218;81.2;204;240;85.0;28;54;51.9;1;0.6;0.6;+0.4;11;34;4;0;47;Matchs
;Jean-Charles Castelletto;cm CMR;DF;Nantes;29-351;1995;14.8;662;740;89.5;11595;4485;263;278;94.6;343;369;93.0;44;71;62.0;0;0.0;0.2;0.0;1;51;4;0;58;Matchs
;Fabien Centonze;fr FRA;DF;Nantes;28-361;1996;0.9;40;52;76.9;606;273;24;26;92.3;12;16;75.0;3;5;60.0;0;0.2;0.2;-0.2;3;1;4;3;8;Matchs
;Brendan Chardonnet;fr FRA;DF;Brest;30-020;1994;14.0;593;727;81.6;12400;4635;175;189;92.6;329;356;92.4;84;167;50.3;0;0.3;0.3;-0.3;3;36;2;1;30;Matchs
;Jhoanner Chávez;ec ECU;DF,MT;Lens;22-261;2002;6.6;230;308;74.7;3617;1446;129;149;86.6;74;100;74.0;20;40;50.0;0;0.7;1.3;-0.7;9;10;8;5;9;Matchs
;Théo Chennahi;fr FRA;MT,DF;Montpellier;19-340;2005;0.1;2;3;66.7;33;26;1;1;100.0;1;1;100.0;0;1;0.0;0;0.0;0.0;0.0;0;1;0;0;0;Matchs
;Sidiki Cherif;fr FRA;AT;Angers;18-027;2006;3.1;27;51;52.9;390;67;18;29;62.1;9;15;60.0;0;0;;0;0.2;0.2;-0.2;2;3;1;1;2;Matchs
;Rayan Cherki;fr FRA;AT,MT;Lyon;21-147;2003;7.3;309;400;77.3;4928;1571;177;191;92.7;103;135;76.3;25;58;43.1;3;3.7;4.0;-0.7;24;27;30;2;67;Matchs
;Lucas Chevalier;fr FRA;GB;Lille;23-066;2001;17.0;399;525;76.0;9870;7083;105;105;100.0;186;190;97.9;107;228;46.9;0;0.5;0.2;-0.5;1;4;0;0;0;Matchs
;Pedro Chirivella;es ESP;MT;Nantes;27-233;1997;13.8;664;805;82.5;11693;3812;297;331;89.7;282;320;88.1;71;123;57.7;1;0.6;0.6;+0.4;9;85;10;2;83;Matchs
;Joris Chotard;fr FRA;MT;Montpellier;23-109;2001;7.5;256;310;82.6;4733;1544;118;129;91.5;106;121;87.6;30;48;62.5;0;0.3;0.6;-0.3;4;34;5;1;39;Matchs
;Yoann Cissé;fr FRA;MT;Auxerre;20-029;2004;0.0;1;2;50.0;6;0;1;2;50.0;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Jonathan Clauss;fr FRA;DF,MT;Nice;32-108;1992;9.5;344;467;73.7;5781;2388;174;207;84.1;125;165;75.8;36;69;52.2;3;2.8;2.0;+0.2;15;28;12;6;39;Matchs
;Marcus Coco;fr FRA;DF;Nantes;28-201;1996;5.0;222;270;82.2;3789;1407;103;108;95.4;100;118;84.7;16;36;44.4;1;0.5;0.2;+0.5;5;18;5;3;20;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Alois Confais;fr FRA;MT;Le Havre;28-126;1996;0.0;1;2;50.0;10;0;1;2;50.0;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Derek Cornelius;ca CAN;DF;Marseille;27-047;1997;7.0;589;625;94.2;9268;3425;279;287;97.2;287;298;96.3;14;24;58.3;0;0.1;0.2;-0.1;3;39;0;0;30;Matchs
;Pierre Cornud;fr FRA;DF;Saint-Étienne;28-030;1996;4.2;180;215;83.7;3169;1076;80;88;90.9;71;80;88.8;23;34;67.6;0;0.2;0.2;-0.2;1;9;1;0;9;Matchs
;David Costa;pt POR;MT;Lens;24-006;2001;3.6;124;150;82.7;1863;605;65;72;90.3;48;58;82.8;6;10;60.0;0;0.4;0.9;-0.4;6;12;8;4;24;Matchs
;Logan Costa;cv CPV;DF;Toulouse;23-285;2001;1.0;47;56;83.9;845;482;20;20;100.0;23;26;88.5;4;9;44.4;0;0.5;0.0;-0.5;1;4;1;1;4;Matchs
;Grégoire Coudert;fr FRA;GB;Brest;25-283;1999;1.0;29;38;76.3;781;504;5;5;100.0;17;17;100.0;7;16;43.8;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Lasso Coulibaly;gh GHA;AT,MT;Auxerre;22-084;2002;0.4;9;10;90.0;111;0;6;6;100.0;3;4;75.0;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Soumaïla Coulibaly;fr FRA;DF;Brest;21-089;2003;3.6;189;215;87.9;3984;1100;50;54;92.6;115;124;92.7;22;34;64.7;0;0.0;0.0;0.0;0;6;1;0;8;Matchs
;Tanguy Coulibaly;fr FRA;AT,MT;Montpellier;23-328;2001;4.9;95;128;74.2;1290;207;61;71;85.9;27;40;67.5;3;9;33.3;0;0.4;0.2;-0.4;8;4;0;0;6;Matchs
;Nicolas Cozza;fr FRA;DF,MT;Nantes;26-003;1999;12.3;333;438;76.0;5208;2041;177;211;83.9;143;168;85.1;8;35;22.9;0;0.5;0.8;-0.5;4;24;8;2;38;Matchs
;Charlie Cresswell;eng ENG;DF;Toulouse;22-147;2002;12.8;568;693;82.0;10319;3376;201;226;88.9;328;366;89.6;36;93;38.7;0;1.0;0.6;-1.0;3;20;1;0;27;Matchs
;Kévin Danois;fr FRA;MT;Auxerre;20-197;2004;9.8;363;452;80.3;5952;1697;181;209;86.6;136;160;85.0;30;49;61.2;0;0.8;1.0;-0.8;16;40;6;1;68;Matchs
;Kevin Danso;at AUT;DF;Lens;26-114;1998;11.0;592;692;85.5;10668;3789;236;259;91.1;320;345;92.8;35;75;46.7;0;1.0;0.3;-1.0;5;48;3;0;40;Matchs
;Dante;br BRA;DF;Nice;41-085;1983;8.3;514;589;87.3;8569;3513;243;260;93.5;236;250;94.4;28;62;45.2;0;0.0;0.2;0.0;0;38;3;0;45;Matchs
