Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Buts;Tirs;TC;TC%;Tir/90;TC/90;B/Tir;B/TC;Dist;CF;PénM;PénT;xG;npxG;npxG/Sh;G-xG;np:G-xG;Matchs
Zinédine Ould Khaled;fr FRA;MT;Angers;24-363;2000;0.6;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Beres Owusu;fr FRA;DF;Saint-Etienne;21-114;2003;1.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Elisha Owusu;gh GHA;MT;Auxerre;27-065;1997;15.4;1;4;2;50.0;0.26;0.13;0.25;0.50;23.7;0;0;0;0.3;0.3;0.07;+0.7;+0.7;Matchs
Willian Pacho;ec ECU;DF;Paris S-G;23-087;2001;13.3;0;1;0;0.0;0.08;0.00;0.00;;9.9;0;0;0;0.1;0.1;0.06;-0.1;-0.1;Matchs
Nicolas Pallois;fr FRA;DF;Nantes;37-114;1987;10.0;0;2;1;50.0;0.20;0.10;0.00;0.00;32.0;0;0;0;0.0;0.0;0.01;0.0;0.0;Matchs
Kévin Pedro;fr FRA;DF;Saint-Etienne;18-325;2006;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Théo Pellenard;fr FRA;DF;Auxerre;30-313;1994;0.5;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Timothee Pembele;fr FRA;DF;Le Havre;22-124;2002;7.5;0;2;1;50.0;0.27;0.13;0.00;0.00;14.4;0;0;0;0.2;0.2;0.08;-0.2;-0.2;Matchs
Faris Pemi Moumbagna;cm CMR;AT;Marseille;24-194;2000;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Óscar Perea;co COL;MT;Strasbourg;19-106;2005;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Mathias Pereira Lage;pt POR;AT,MT;Brest;28-042;1996;5.8;1;9;4;44.4;1.56;0.69;0.11;0.25;18.7;1;0;0;0.6;0.6;0.06;+0.4;+0.4;Matchs
Lucas Perri;br BRA;GB;Lyon;27-032;1997;16.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Gaëtan Perrin;fr FRA;MT,AT;Auxerre;28-218;1996;13.2;5;28;13;46.4;2.12;0.98;0.18;0.38;20.8;2;0;0;3.0;3.0;0.11;+2.0;+2.0;Matchs
